point,unitaire,unique,seul,solitude,un,marque,score,foyer,abscisse,coeur,extrémité,finalité,fin,emergence,amour,,,,,,,,,,
ligne,droit,duo,raide,ligne,aligné,alignement,rectiligne,raideur,trait,barre,droite,longiligne,tendu,linéaire,binome,,,,,,,,,,
triangle,triangle,trio,trinité,tetra,trois,équilatéral,isocèle,delta,obtu,,,,,,trinome,,,,,,,,,,
rectangle,,quadratique,boite,cadre,quadrilatère,fenetre,,,quatre,,damier,parallélogramme,quadrangle,quadrangulaire,angle-droit,quatuor,,,,,,,,,
carre,carré,rangé,boite,cadre,quadrilatère,cube,cubique,cubisme,quatre,carreau,symétrie,profane,quadrangle,quadrangulaire,parallèle, franc,sincère ,ferme ,loyal ,épais ,net ,ouvert ,parfait,droit,quatuor
losange,,,,,,dérangé,désordre,décalé,intrus,aigu,obtu,rhombe,quadrangle,quadrangulaire,quatuor,,,,,,,,,,
pentagone,,,,,,,,,,,,,,,,,,,,,,,,,
fleche,sagaie,javelot,sagette,javeline,dard,lance,pointe,pointu,direction,,,,,,,,,,,,,,,,
cercle,rond,arc,sphere,circonférence,diamètre,rayon,PI,trigonométrie,compagnie,relation,domaine,entourage,sacré,,courbe,rond,arceau,,,,,,,,
rapproche,petit,étroit,court,reduit,diminué,écourté,rappetissé,minuscule,bas,mini,rabougri,restreint,étouffé,fin,filiforme,,,,,,,,,,
eloigne,large,infini,interminable,allongé,long,étendu,grand,élancé,éternel,illimité,interminable,indéfini,espacé,spacieux,gras,épais,,,,,,,,,
oblique-gauche,désorienté,tordu,bancal,tourné,diagonale,,,,,,,,,,,,,,,,,,,,
oblique-droit,désorienté,tordu,bancal,tourné,diagonale,,,,,,,,,,,,,,,,,,,,
vertical,rangé,orienté,raide,droit,,,,,,,,,,,,,,,,,,,,,
horizontal,rangé,orienté,raide,droit,,,,,,,,,,,,,,,,,,,,,
coin,angle,exclu,,,,,,,,,,,,,,,,,,,,,,,
mur,parallèle,,,,,,,,,,,,,,,,,,,,,,,,
centre,milieu,,,,,,,,,,,,,,,,,,,,,,,,
est,droite,,,,,,,,,,,,,,,,,,,,,,,,
ouest,gauche,,,,,,,,,,,,,,,,,,,,,,,,
nord,haut,arrière,,,,,,,,,,,,,,,,,,,,,,,
sud,bas,avant,,,,,,,,,,,,,,,,,,,,,,,
groupe,ensemble,union,,,,,,,,,,,,,,,,,,,,,,,